Date,Sum of new_cases,TSX Price
2/3/2020,0,17379.80078
2/4/2020,0,17512.69922
2/5/2020,1,17651.59961
2/6/2020,0,17757.5
2/7/2020,2,17655.5
2/10/2020,0,17740.59961
2/11/2020,0,17777.09961
2/12/2020,0,17832.90039
2/13/2020,0,17821.19922
2/14/2020,0,17848.40039
2/18/2020,0,17858.30078
2/19/2020,0,17925.40039
2/20/2020,0,17944.09961
2/21/2020,1,17843.5
2/24/2020,1,17562.69922
2/25/2020,1,17177.40039
2/26/2020,0,17041.90039
2/27/2020,2,16717.40039
2/28/2020,1,16263.09961
3/2/2020,3,16553.30078
3/3/2020,3,16423.59961
3/4/2020,3,16779.5
3/5/2020,4,16554
3/6/2020,12,16175
3/9/2020,13,14514.2002
3/10/2020,2,14958.09961
3/11/2020,29,14270.09961
3/12/2020,9,12508.5
3/13/2020,76,13716.29981
3/16/2020,163,12360.40039
3/17/2020,63,12685.2002
3/18/2020,179,11721.40039
3/19/2020,143,12170.5
3/20/2020,143,11851.79981
3/23/2020,619,11228.5
3/24/2020,702,12571.09961
3/25/2020,461,13139.2002
3/26/2020,791,13371.2002
3/27/2020,640,12687.7002
3/30/2020,1118,13038.5
3/31/2020,1129,13378.79981
4/1/2020,1033,12876.40039
4/2/2020,1724,13097.79981
4/3/2020,1153,12938.29981
4/6/2020,807,13592.7002
4/7/2020,1309,13614.09961
4/8/2020,1269,13925.7002
4/9/2020,1513,14166.59961
4/13/2020,1381,14075.90039
4/14/2020,1355,14258.40039
4/15/2020,1174,13958.59961
4/16/2020,2600,13899.29981
4/17/2020,2005,14359.90039
4/20/2020,2025,14388.29981
4/21/2020,1744,13940.09961
4/22/2020,2261,14288.2002
4/23/2020,1636,14251.09961
4/24/2020,1620,14420.40039
4/27/2020,1583,14642.09961
4/28/2020,1534,14798.29981
4/29/2020,1715,15228.09961
4/30/2020,1592,14780.7002
5/1/2020,1886,14620.29981
5/4/2020,1453,14745
5/5/2020,1258,14811.59961
5/6/2020,1479,14830.7002
5/7/2020,1507,14833.7002
5/8/2020,1473,14966.59961
5/11/2020,1173,15103.2002
5/12/2020,1155,14881.2002
5/13/2020,1149,14503.2002
5/14/2020,1213,14509.7002
5/15/2020,1178,14638.90039
5/19/2020,1082,14885.5
5/20/2020,1082,14997.59961
5/21/2020,1167,14884.90039
5/22/2020,1205,14913.59961
5/25/2020,1013,15075.40039
5/26/2020,971,15148.09961
5/27/2020,899,15272
5/28/2020,987,15262.7002
5/29/2020,933,15192.79981
6/1/2020,809,15236.2002
6/2/2020,672,15394.40039
6/3/2020,681,15575.09961
6/4/2020,628,15527.90039
6/5/2020,678,15854.09961
6/8/2020,601,15974.90039
6/9/2020,462,15833.7002
6/10/2020,479,15701.29981
6/11/2020,439,15050.90039
6/12/2020,436,15256.59961
6/15/2020,359,15359.7002
6/16/2020,324,15515.79981
6/17/2020,404,15428.7002
6/18/2020,386,15479.79981
6/19/2020,437,15474.2002
6/22/2020,340,15516.90039
6/23/2020,349,15564.79981
6/24/2020,320,15294.40039
6/25/2020,376,15446.09961
6/26/2020,166,15189
6/29/2020,637,15389.7002
6/30/2020,267,15515.2002
7/2/2020,355,15622.40039
7/3/2020,319,15596.79981
7/6/2020,421,15669.7002
7/7/2020,208,15595.5
7/8/2020,311,15629.2002
7/9/2020,322,15568.59961
7/10/2020,328,15713.79981
7/13/2020,636,15639.40039
7/14/2020,366,15908.5
7/15/2020,343,16063.29981
7/16/2020,451,16024.5
7/17/2020,415,16123.5
7/20/2020,770,16183.7002
7/21/2020,535,16163
7/22/2020,317,16171.09961
7/23/2020,608,16018.7002
7/24/2020,717,15997.09961
7/27/2020,682,16161.29981
7/28/2020,400,16121.29981
7/29/2020,486,16294.7002
7/30/2020,320,16299.29981
7/31/2020,604,16169.2002
8/4/2020,686,16368
8/5/2020,374,16501.59961
8/6/2020,354,16579.09961
8/7/2020,516,16544.5
8/10/2020,686,16605.5
8/11/2020,336,16497
8/12/2020,314,16575.30078
8/13/2020,477,16530.09961
8/14/2020,425,16514.59961
8/17/2020,214,16656.09961
8/18/2020,866,16626.09961
8/19/2020,324,16577.40039
8/20/2020,217,16606.80078
8/21/2020,694,16517.90039
8/24/2020,777,16626.59961
8/25/2020,309,16617.5
8/26/2020,477,16790
8/27/2020,456,16731.5
8/28/2020,506,16705.80078
8/31/2020,1030,16514.40039
9/1/2020,504,16645
9/2/2020,519,16698
9/3/2020,586,16448.90039
9/4/2020,614,16218
9/8/2020,1462,16099.5
9/9/2020,378,16383.59961
9/10/2020,821,16185.29981
9/11/2020,720,16222.5
9/14/2020,1458,16360.09961
9/15/2020,802,16431.30078
9/16/2020,952,16295.7002
9/17/2020,1027,16246.7002
9/18/2020,1174,16199
9/21/2020,1833,15981.79981
9/22/2020,1272,16142.90039
9/23/2020,1084,15817.09961
9/24/2020,1148,15912.29981
9/25/2020,1630,16065.40039
9/28/2020,1791,16242.79981
9/29/2020,1772,16211.5
9/30/2020,2116,16121.40039
