Date,Sum of new_cases,Stock Price
43864,3,9273.400391
43865,0,9467.969727
43866,0,9508.679688
43867,1,9572.150391
43868,0,9520.509766
43871,0,9628.389648
43872,1,9638.94043
43873,0,9725.959961
43874,1,9711.969727
43875,0,9731.179688
43879,0,9732.740234
43880,0,9817.179688
43881,0,9750.969727
43882,2,9576.589844
43885,0,9221.280273
43886,0,8965.610352
43887,0,8980.780273
43888,1,8566.480469
43889,0,8567.370117
43892,23,8952.169922
43893,19,8684.089844
43894,33,9018.089844
43895,77,8738.589844
43896,53,8575.620117
43899,75,7950.680176
43900,188,8344.25
43901,365,7952.049805
43902,439,7201.799805
43903,633,7874.879883
43906,1467,6904.589844
43907,1833,7334.779785
43908,2657,6989.839844
43909,4494,7150.580078
43910,6367,6879.52002
43913,11231,6860.669922
43914,10612,7417.859863
43915,12075,7384.299805
43916,17840,7797.540039
43917,18680,7502.379883
43920,22082,7774.149902
43921,26316,7700.100098
43922,25883,7360.580078
43923,30387,7487.310059
43924,31970,7373.080078
43927,30173,7913.240234
43928,31410,7887.259766
43929,32195,8090.899902
43930,34582,8153.580078
43934,25809,8192.419922
43935,28564,8515.740234
43936,30165,8393.179688
43937,31401,8532.360352
43938,32669,8650.139648
43941,28420,8560.730469
43942,26060,8263.230469
43943,29314,8495.379883
43944,33184,8494.75
43945,33751,8634.519531
43948,23187,8730.160156
43949,24661,8607.730469
43950,27811,8914.709961
43951,29487,8889.549805
43952,34240,8604.950195
43955,23382,8710.709961
43956,24510,8809.120117
43957,25089,8854.389648
43958,27736,8979.660156
43959,26749,9121.320313
43962,19427,9192.339844
43963,22725,9002.549805
43964,20963,8863.169922
43965,27158,8943.719727
43966,25255,9014.55957
43969,21987,9234.830078
43970,21055,9185.099609
43971,23062,9375.780273
43972,25865,9284.879883
43973,23311,9324.589844
43977,19451,9340.219727
43978,18533,9412.360352
43979,22868,9368.990234
43980,24255,9489.870117
43983,16928,9552.049805
43984,21389,9608.379883
43985,20006,9682.910156
43986,21368,9615.80957
43987,25349,9814.080078
43990,17492,9924.75
43991,18361,9953.75
43992,20951,10020.34961
43993,23042,9492.730469
43994,24914,9588.80957
43997,19456,9726.019531
43998,23693,9895.870117
43999,26499,9910.530273
44000,27867,9943.049805
44001,30981,9946.120117
44004,30676,10056.48047
44005,36208,10131.37012
44006,34426,9909.169922
44007,40356,10017
44008,45353,9757.219727
44011,40057,9874.150391
44012,45980,10058.76953
44013,51488,10154.62988
44014,55588,10207.62988
44018,44162,10433.65039
44019,60755,10343.88965
44020,59740,10492.5
44021,62567,10547.75
44022,67859,10617.44043
44025,58795,10390.83984
44026,67427,10488.58008
44027,67635,10550.49023
44028,77102,10473.83008
44029,71672,10503.19043
44032,61478,10767.08984
44033,64231,10680.36035
44034,71923,10706.12988
44035,68516,10461.41992
44036,73203,10363.17969
44039,55947,10536.26953
44040,65785,10402.08984
44041,71832,10542.94043
44042,67599,10587.80957
44043,67911,10745.26953
44046,44567,10902.79981
44047,57283,10941.16992
44048,54433,10998.40039
44049,59481,11108.07031
44050,58322,11010.98047
44053,48733,10968.36035
44054,46925,10782.82031
44055,56796,11012.24023
44056,51742,11042.5
44057,64764,11019.29981
44060,36517,11129.73047
44061,45037,11210.83984
44062,47371,11146.45996
44063,44087,11264.9502
44064,48253,11311.79981
44067,36485,11379.71973
44068,39979,11466.46973
44069,45520,11665.05957
44070,45120,11625.33984
44071,46929,11695.62988
44074,35198,11775.45996
44075,41677,11939.66992
44076,40951,12056.44043
44077,43781,11458.09961
44078,50129,11313.12988
44082,26897,10847.69043
44083,33895,11141.55957
44084,36066,10919.58984
44085,47439,10853.54981
44088,33870,11056.65039
44089,39385,11190.32031
44090,38460,11050.46973
44091,44922,10910.28027
44092,48750,10793.28027
44095,51538,10778.79981
44096,39482,10963.63965
44097,38581,10632.99023
44098,45710,10672.26953
44099,48077,10913.55957
44102,32248,11117.53027
44103,42796,11085.25
44104,41196,11167.50977
